Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full
Y,Y,Y,Deputy,Jennifer ,Murnane O'Connor,F,Carlow-Kilkenny,Fianna Fail
N,Y,Y,,Catherine ,Callaghan,F,Carlow-Kilkenny,Fine Gael
N,Y,N,,Aine ,Gladney Knox,F,Carlow-Kilkenny,Sinn Fein
N,Y,Y,,Natasha ,Newsome Drennan,F,Carlow-Kilkenny,Sinn Fein
N,Y,N,,Orla,Donohoe,F,Carlow-Kilkenny,Irish Freedom Party
N,Y,N,,Patricia ,Stephenson,F,Carlow-Kilkenny,Social Democrats
N,Y,N,Cllr,Adrienne,Wallace,F,Carlow-Kilkenny,Solidarity - People Before Profit
Y,Y,Y,Deputy,Niamh ,Smyth,F,Cavan-Monaghan,Fianna Fail
Y,Y,N,Deputy,Pauline ,Tully,F,Cavan-Monaghan,Sinn Fein
N,Y,N,Cllr,Sarah ,O'Reilly,F,Cavan-Monaghan,Aontu
N,Y,N,Cllr,Carmel,Brady,F,Cavan-Monaghan,Fine Gael
N,Y,N,,Emma ,Hendrick,F,Cavan-Monaghan,Solidarity - People Before Profit
N,Y,Y,Cllr,Cathy,Bennett,F,Cavan-Monaghan,Sinn Fein
Y,Y,N,Deputy,Violet Anne,Wynne,F,Clare,Independent
N,Y,Y,Cllr,Donna ,McGettigan,F,Clare,Sinn Fein
N,Y,N,Senator,Roisin ,Garvey,F,Clare,Green Party
N,Y,N,,Hilary ,Tonge,F,Clare,Social Democrats
N,Y,N,,Leonora,Carey,F,Clare,Fine Gael
N,Y,N,Cllr,Rita,McInerney,F,Clare,Fianna Fail
N,Y,N,,June,Dillon,F,Clare,Aontu
N,Y,N,,Caitriona,NI Chathain,F,Clare,Solidarity - People Before Profit
N,Y,N,,Amanda,Major,F,Clare,Independent
N,Y,N,,Mona ,Stromsoe,F,Cork East,Aontu
N,Y,N,Cllr,Deirdre,O'Brien,F,Cork East,Fianna Fail
N,Y,N,,Cliona,O'Halloran,F,Cork East,Green Party
N,Y,N,,Kathryn,Bermingham,F,Cork East,Independent Ireland
N,Y,N,Cllr,Mary ,Linehan Foley,F,Cork East,Independent
N,Y,N,,Asch,Ni Fhinn,F,Cork East,Solidarity - People Before Profit
N,Y,N,,Catherine ,Lynch,F,Cork East,Independent Ireland
N,Y,N,,Susan,Doyle,F,Cork North-Central,Social Democrats
N,Y,N,,Rachel ,Hurley Roche,F,Cork North-Central,Independent
N,Y,N,,Imelda,Daly,F,Cork North-Central,Fine Gael
N,Y,N,,Sandra,Murphy Kelleher,F,Cork North-Central,Fianna Fail
N,Y,N,,Becky,Kealy,F,Cork North-West,Aontu
N,Y,N,,Nicole,Ryan,F,Cork North-West,Sinn Fein
N,Y,N,,Colette,Finn,F,Cork North-West,Green Party
N,Y,N,,Ellen ,Barry,F,Cork North-West,Independent Ireland
N,Y,N,Cllr,Una ,McCarthy,F,Cork South-Central,Fine Gael
N,Y,N,Cllr,Laura ,Harmon,F,Cork South-Central,Labour
N,Y,N,,Anna,Daly,F,Cork South-Central,Aontu
N,Y,N,,Monica ,Oikeh,F,Cork South-Central,Green Party
N,Y,N,,Michelle,Cowhey Shahid,F,Cork South-Central,Sinn Fein
N,Y,N,,Margaret,Kenneally,F,Cork South-Central,Fianna Fail
N,Y,N,,Veronica,Houlihan,F,Cork South-Central,Independent Ireland
N,Y,N,,Lorna,Bogue,F,Cork South-Central,Rabharta Glas
N,Y,N,,Valerie,Ward,F,Cork South-Central,Independent Ireland
Y,Y,Y,Deputy,Holly ,Cairns,F,Cork South-West,Social Democrats
N,Y,N,,Claire ,O'Callaghan,F,Cork South-West,Sinn Fein
N,Y,N,,Evie,Nevin,F,Cork South-West,Labour
N,Y,N,,Deborah,O'Driscoll,F,Cork South-West,The Irish People
N,Y,N,,Mary ,Ryder,F,Cork South-West,Green Party
N,Y,N,,Zoe,Laplaud,F,Cork South-West,Solidarity - People Before Profit
N,Y,N,,Mairead ,Ruane,F,Cork South-West,Aontu
N,Y,N,Senator,Nikki ,Bradley,F,Donegal,Fine Gael
N,Y,N,,Mary ,T. Sweeney,F,Donegal,Aontu
N,Y,N,,Claudia,Kennedy,F,Donegal,Fianna Fail
N,Y,N,,Nuala,Carr,F,Donegal,Green Party
N,Y,N,,Carol,Gallagher,F,Donegal,Solidarity - People Before Profit
Y,Y,Y,Deputy,Denise ,Mitchell,F,Dublin Bay North,Sinn Fein
N,Y,N,Cllr,Aoibhinn,Tormey,F,Dublin Bay North,Fine Gael
N,Y,N,Cllr,Deirdre,Heney,F,Dublin Bay North,Fianna Fail
Y,Y,Y,Deputy,Ivana ,Bacik,F,Dublin Bay South,Labour
N,Y,N,Cllr,Hazel ,Chu,F,Dublin Bay South,Green Party
N,Y,N,Cllr,Emma ,Blain,F,Dublin Bay South,Fine Gael
N,Y,N,,Kate ,O'Connell,F,Dublin Bay South,Independent
N,Y,N,,Lauralee,Doyle,F,Dublin Bay South,The Irish People
N,Y,N,,Brigid,Purcell,F,Dublin Bay South,Solidarity - People Before Profit
Y,Y,N,Deputy,Neasa,Hourigan,F,Dublin Central,Green Party
Y,Y,Y,Deputy,Mary Lou,McDonald,F,Dublin Central,Sinn Fein
N,Y,N,Senator,Mary ,Fitzpatrick,F,Dublin Central,Fianna Fail
N,Y,Y,Senator,Marie ,Sherlock,F,Dublin Central,Labour
N,Y,N,,Janice,Boylan,F,Dublin Central,Sinn Fein
N,Y,N,,Clare,Daly,F,Dublin Central,Independents 4 Change
N,Y,N,Cllr,Joan ,Hopkins,F,Dublin Fingal East,Social Democrats
N,Y,Y,Cllr,Ann ,Graves,F,Dublin Fingal East,Sinn Fein
N,Y,N,,Margaret,McGovern,F,Dublin Fingal East,Aontu
N,Y,N,,Manju,Devi,F,Dublin Fingal East,Fianna Fail
N,Y,N,,Victoria,Byrne,F,Dublin Fingal East,Irish Freedom Party
Y,Y,Y,Deputy,Louise,O'Reilly,F,Dublin Fingal West,Sinn Fein
N,Y,Y,,Grace,Boland,F,Dublin Fingal West,Fine Gael
N,Y,N,Senator,Lorraine ,Clifford-Lee,F,Dublin Fingal West,Fianna Fail
Y,Y,Y,Deputy,Emer,Higgins,F,Dublin Mid-West,Fine Gael
N,Y,N,,Lynda ,Prendergast,F,Dublin Mid-West,Fianna Fail
N,Y,N,Cllr,Linda,De Courcy,F,Dublin Mid-West,Independent Ireland
N,Y,N,Cllr,Vicki,Casserly,F,Dublin Mid-West,Fine Gael
N,Y,N,,Karla,Doran,F,Dublin Mid-West,Green Party
N,Y,N,,Caroline ,Conroy,F,Dublin North-West,Green Party
N,Y,N,,Cathleen,Carney Boud,F,Dublin North-West,Sinn Fein
Y,Y,N,Deputy,Catherine ,Martin,F,Dublin Rathdown,Green Party
N,Y,Y,,Sinead ,Gibney,F,Dublin Rathdown,Social Democrats
N,Y,N,Cllr,Lettie,McCarthy,F,Dublin Rathdown,Labour
N,Y,Y,Cllr,Maeve,O'Connell,F,Dublin Rathdown,Fine Gael
N,Y,N,,Elaine,Dunne,F,Dublin Rathdown,Fianna Fail
N,Y,N,,Siomha,Ni Aonghusa,F,Dublin Rathdown,Solidarity - People Before Profit
N,Y,N,Cllr,Hazel ,De Nortuin,F,Dublin South Central,Solidarity - People Before Profit
Y,Y,N,Deputy,Joan ,Collins,F,Dublin South Central,Right To Change
N,Y,Y,Cllr,Jen,Cummins,F,Dublin South Central,Social Democrats
N,Y,N,,Aisling ,Considine,F,Dublin South Central,Aontu
N,Y,Y,Cllr,Maire ,Devine,F,Dublin South Central,Sinn Fein
N,Y,N,Senator,Mary ,Seary-Kearney,F,Dublin South Central,Fine Gael
N,Y,Y,Senator,Catherine,Ardagh,F,Dublin South Central,Fianna Fail
N,Y,N,,Rebecca ,Hendrick,F,Dublin South Central,Independent Ireland
N,Y,N,,Jina,Aherne,F,Dublin South Central,The Irish People
N,Y,N,,Dolores,Webster,F,Dublin South Central,Independent
N,Y,N,Cllr,Teresa,Costello,F,Dublin South-West,Fianna Fail
N,Y,N,Cllr,Niamh ,Whelan,F,Dublin South-West,Sinn Fein
N,Y,N,,Saoirse,Ni Chonarain,F,Dublin South-West,Aontu
N,Y,N,Cllr,Sarah,Barnes,F,Dublin South-West,Fine Gael
N,Y,N,Cllr,Ellen ,Troy,F,Dublin West,Aontu
N,Y,N,Cllr,Breda,Hanaphy,F,Dublin West,Sinn Fein
N,Y,N,,Ellen ,Murphy,F,Dublin West,Social Democrats
N,Y,N,,Lorna,Nolan,F,Dublin West,Fianna Fail
N,Y,Y,Senator,Emer,Currie,F,Dublin West,Fine Gael
N,Y,N,Cllr,Tania,Doyle,F,Dublin West,Independent
N,Y,N,,Susanne,Delaney,F,Dublin West,Independent
N,Y,N,,Natalie,Tracey,F,Dublin West,Independent
N,Y,Y,Cllr,Ruth ,Coppinger,F,Dublin West,Solidarity - People Before Profit
Y,Y,Y,Deputy,Jennifer ,Carroll MacNeill,F,Dun Laoghaire,Fine Gael
N,Y,N,Cllr,Martha,Fanning,F,Dun Laoghaire,Labour
N,Y,N,,Mairead,Toibin,F,Dun Laoghaire,Aontu
N,Y,N,,Cathy,Lynch,F,Dun Laoghaire,Independent
Y,Y,N,Deputy,Anne ,Rabbitte,F,Galway East,Fianna Fail
N,Y,N,Cllr,Clodagh ,Higgins,F,Galway East,Fine Gael
N,Y,N,,Niamh ,Madden,F,Galway East,Fine Gael
Y,Y,Y,Deputy,Catherine ,Connolly,F,Galway West,Independent
Y,Y,Y,Deputy,Mairead,Farrell,F,Galway West,Sinn Fein
Y,Y,Y,Deputy,Hildegarde,Naughton,F,Galway West,Fine Gael
N,Y,N,Senator,Pauline ,O'Reilly,F,Galway West,Green Party
N,Y,N,,Grainne ,Seoige,F,Galway West,Fianna Fail
N,Y,N,,Maisie,McMaster,F,Galway West,Solidarity - People Before Profit
N,Y,N,Cllr,Helen ,Ogbu,F,Galway West,Labour
N,Y,N,Cllr,Eibhlin,Seoighthe,F,Galway West,Social Democrats
Y,Y,Y,Deputy,Norma,Foley,F,Kerry,Fianna Fail
N,Y,N,,Cleo,Murphy,F,Kerry,Green Party
N,Y,N,,Linda ,Gordon - Kelleher,F,Kerry,Fianna Fail
N,Y,N,,Catherina,O'Sullivan,F,Kerry,Aontu
N,Y,N,,Michelle,Keane,F,Kerry,Independent
N,Y,N,,Mary ,Fitzgibbon,F,Kerry,Independent
N,Y,N,,Stephanie,O'Shea,F,Kerry,Sinn Fein
Y,Y,Y,Deputy,Reada ,Cronin,F,Kildare North,Sinn Fein
N,Y,N,Cllr,Angela ,Feeney,F,Kildare North,Labour
N,Y,N,,Una ,O'Connor,F,Kildare North,Aontu
N,Y,N,Cllr,Evie,Sammon,F,Kildare North,Fine Gael
N,Y,N,,Avril,Corcoran,F,Kildare North,The Irish People
N,Y,N,,Leah,Whelan,F,Kildare North,Solidarity - People Before Profit
N,Y,N,,Caroline,Hogan,F,Kildare North,Sinn Fein
Y,Y,N,Deputy,Patricia,Ryan,F,Kildare South,Independent
N,Y,N,Senator,Fiona ,O'Loughlin,F,Kildare South,Fianna Fail
N,Y,N,,Melissa,Byrne,F,Kildare South,Aontu
N,Y,N,,Monaa K.,Sood,F,Kildare South,Green Party
N,Y,Y,Cllr,Shonagh,Ni Raghallaigh,F,Kildare South,Sinn Fein
N,Y,N,,Edel,Doran,F,Kildare South,Independent Ireland
N,Y,N,,Leanne,O'Neill,F,Kildare South,Independent
N,Y,N,,Elaine,Mullally,F,Laois,Independent
N,Y,N,,Rosie,Palmer,F,Laois,Green Party
N,Y,N,,Mary ,Hand,F,Laois,Aontu
N,Y,N,Cllr,Aisling ,Moran,F,Laois,Independent
N,Y,N,,Maria,McCormack,F,Laois,Sinn Fein
N,Y,N,,Pauline,Flanagan,F,Laois,Independent
N,Y,N,Cllr,Sarah,Beasley,F,Limerick City,Aontu
N,Y,N,,Melanie,Sheehan Cleary,F,Limerick City,Independent
N,Y,N,Cllr,Elisa ,O'Donovan,F,Limerick City,Social Democrats
N,Y,N,Senator,Maria ,Byrne,F,Limerick City,Fine Gael
N,Y,N,,Dee,Ryan,F,Limerick City,Fianna Fail
N,Y,N,,Esther,Aherne,F,Limerick City,Independent Ireland
N,Y,N,,Michelle,Hayes,F,Limerick City,Independent
N,Y,N,,Joanne,Collins,F,Limerick County,Sinn Fein
N,Y,N,Cllr,Bridie ,Collins,F,Limerick County,Fianna Fail
N,Y,N,Cllr,Noreen,Stokes,F,Limerick County,Fine Gael
N,Y,N,,Lorraine,O'Sullivan,F,Limerick County,The Irish People
N,Y,N,,Donna,O'Loughlin,F,Limerick County,Irish Freedom Party
N,Y,N,,Laura,Fahey,F,Limerick County,Solidarity - People Before Profit
N,Y,N,,April,Sheehan Corkery,F,Limerick County,Independent
Y,Y,Y,Deputy,Sorca,Clarke,F,Longford-Westmeath,Sinn Fein
N,Y,N,,Laura,O'Neill,F,Longford-Westmeath,Aontu
N,Y,N,Cllr,Louise,Heavin,F,Longford-Westmeath,Independent
N,Y,N,,Tanya,Cannon,F,Longford-Westmeath,Fine Gael
N,Y,N,,Fidelma,Bennett,F,Longford-Westmeath,Labour
N,Y,N,,Carol,Okeke,F,Longford-Westmeath,Green Party
N,Y,N,,Dympna,Cunniffe,F,Longford-Westmeath,Fianna Fail
N,Y,N,,Margaret,Alacoque Maguire,F,Longford-Westmeath,Ireland First
N,Y,N,,Charlotte,Keenan,F,Longford-Westmeath,Independent
N,Y,Y,Senator,Erin ,McGreehan,F,Louth,Fianna Fail
N,Y,Y,Cllr,Joanna ,Byrne,F,Louth,Sinn Fein
N,Y,N,,Alison ,Comyn,F,Louth,Fianna Fail
N,Y,Y,Cllr,Paula ,Butterly,F,Louth,Fine Gael
N,Y,N,Cllr,Marianne,Butler,F,Louth,Green Party
N,Y,N,,Tracy Marie,O'Hanlon,F,Louth,Independent
Y,Y,Y,Deputy,Rose ,Conway - Walsh,F,Mayo,Sinn Fein
N,Y,N,Senator,Lisa ,Chambers,F,Mayo,Fianna Fail
N,Y,Y,,Keira,Keogh,F,Mayo,Fine Gael
N,Y,N,,Martina,Jennings,F,Mayo,Fine Gael
Y,Y,Y,Deputy,Helen ,McEntee,F,Meath East,Fine Gael
N,Y,N,Cllr,Sharon,Tolan,F,Meath East,Fine Gael
N,Y,N,Cllr,Emer ,Toibin,F,Meath East,Aontu
N,Y,N,Cllr,Caroline,O'Reilly,F,Meath East,Fianna Fail
N,Y,N,,Eilish ,Balfe,F,Meath East,Labour
N,Y,N,,Jean,Murray,F,Meath East,National Party
N,Y,Y,Cllr,Gillian,Toole,F,Meath East,Independent
N,Y,N,Cllr,Maria,White,F,Meath East,Sinn Fein
N,Y,N,,Clara,McCormack,F,Meath East,Solidarity - People Before Profit
N,Y,N,,Carolyn,Fahy,F,Meath East,Party for Animal Welfare
N,Y,N,,Barbara,Reid,F,Meath East,Liberty Republic
N,Y,Y,Cllr,Aisling ,Dempsey,F,Meath West,Fianna Fail
N,Y,N,Cllr,Linda,Nelson Murray,F,Meath West,Fine Gael
N,Y,N,,Sandy,Gallagher,F,Meath West,Labour
N,Y,N,Senator,Pippa ,Hackett,F,Offaly,Green Party
N,Y,N,Cllr,Aoife ,Masterson,F,Offaly,Sinn Fein
N,Y,N,Cllr,Claire,Murray,F,Offaly,Fianna Fail
N,Y,N,,Maureen ,Ward,F,Offaly,Aontu
N,Y,N,,Keishia,Taylor,F,Offaly,Solidarity - People Before Profit
Y,Y,Y,Deputy,Carol,Nolan,F,Offaly,Independent
Y,Y,Y,Deputy,Clare,Kerrane,F,Roscommon-Galway,Sinn Fein
N,Y,N,,Dympna,Daly Finn,F,Roscommon-Galway,Fine Gael
N,Y,N,Senator,Aisling,Dolan,F,Roscommon-Galway,Fine Gael
N,Y,N,,Martina,O'Connor,F,Roscommon-Galway,Green Party
Y,Y,Y,Deputy,Marian,Harkin,F,Sligo-Leitrim,Independent
N,Y,N,,Edel,McSharry,F,Sligo-Leitrim,Fianna Fail
N,Y,N,Cllr,Nessa,Cosgrove,F,Sligo-Leitrim,Labour
N,Y,N,,Blaithin,Gallagher,F,Sligo-Leitrim,Green Party
N,Y,N,Cllr,Marie,Casserly,F,Sligo-Leitrim,Independent
N,Y,N,,Molly,Candon,F,Sligo-Leitrim,Party for Animal Welfare
N,Y,N,,Caroline,Corcoran,F,Sligo-Leitrim,Independent Ireland
N,Y,N,Cllr,Phyll,Bugler,F,Tipperary North,Fine Gael
N,Y,N,,Iva,Pocock,F,Tipperary North,Green Party
N,Y,N,,Diana,O'Dwyer,F,Tipperary North,Solidarity - People Before Profit
N,Y,N,Cllr,Imelda ,Goldsboro,F,Tipperary South,Fianna Fail
N,Y,N,,Myriam,Madigan,F,Tipperary South,Green Party
N,Y,N,,Nadaline,Webster,F,Tipperary South,Independent Ireland
N,Y,N,,Rosemary,McGlone,F,Tipperary South,Aontu
Y,Y,Y,Deputy,Mary ,Butler,F,Waterford,Fianna Fail
N,Y,N,Cllr,Mary ,Roche,F,Waterford,Social Democrats
N,Y,N,,Sadhbh,O'Neill,F,Waterford,Labour
Y,Y,Y,Deputy,Verona,Murphy,F,Wexford,Independent
N,Y,N,Cllr,Bridin ,Murphy,F,Wexford,Fine Gael
N,Y,N,,Martina,Stafford,F,Wexford,Solidarity - People Before Profit
N,Y,N,,Michelle,O'Neill,F,Wexford,Fianna Fail
Y,Y,Y,Deputy,Jennifer ,Whitmore,F,Wicklow,Social Democrats
N,Y,N,,Kellie ,McConnell,F,Wicklow,Solidarity - People Before Profit
N,Y,N,,Michaela,Keddy,F,Wicklow,The Irish People
N,Y,N,Cllr,Peir,Leonard,F,Wicklow-Wexford,Independent
N,Y,N,,Aislinn,O'Keefe,F,Wicklow-Wexford,Solidarity - People Before Profit
N,Y,N,,Ann,Walsh,F,Wicklow-Wexford,Green Party
N,Y,N,,Sinead,Boland,F,Wicklow-Wexford,Aontu
N,Y,N,,Frances ,Lawlor,F,Wicklow-Wexford,Independent Ireland
N,Y,N,,Isla-Maria,Nolan,F,Wicklow-Wexford,Independent
